item_name,item_id,item_category_id,sales_volumn,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,total_sales,initial_date,medianPrice
*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,17.01.2015,28.0
*ЛИНИЯ СМЕРТИ                           D,11,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,22.11.2014,58.0
*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55,1.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,02.02.2013,189.0
*СПАСАЯ ЭМИЛИ                           D,13,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,01.09.2014,58.0
*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,15.12.2014,28.0
//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,12.11.2014,58.0
//МОНГОЛ С.Бодров (Регион),16,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,13.09.2014,58.0
//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,98.0,22.09.2014,98.0
/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,18.08.2014,58.0
/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,12.01.2013,28.0
/ОДНАЖДЫ В КИТАЕ-2,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,18.08.2014,58.0
/ПОСЛЕДНИЙ ШАНС,21,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,19.09.2014,58.0
/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,05.04.2015,28.0
/СЕВЕР И ЮГ /Ч.2/,23,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,27.02.2015,28.0
/СМЕРТЕЛЬНЫЙ РАСКЛАД,24,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,98.0,05.04.2015,98.0
/ТЫ  - ТРУП,25,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,29.08.2014,58.0
/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),26,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,16.10.2014,58.0
"007 Legends [PS3, русская версия]",27,19,42.0,30261.0,8291.0,6590.0,12241.6,1996.0,1992.0,0.0,0.0,0.0,0.0,0.0,61371.6,02.01.2013,1398.0
"007 Legends [PС, Jewel, русская версия]",28,30,85.0,10513.0,5519.0,6723.0,3308.9,199.0,0.0,0.0,0.0,0.0,0.0,0.0,26262.9,03.01.2013,249.0
"007 Legends [Xbox 360, русская версия]",29,23,13.0,11886.0,1499.0,4194.0,3354.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,22131.0,04.01.2013,1398.0
007: КООРДИНАТЫ «СКАЙФОЛЛ»,30,40,2090.0,533582.850000008,90218.5,28188.9,20397.15,19027.0,8310.0,6014.0,7089.55,5576.7,2037.0,1647.0,722088.6500000079,12.02.2013,399.0
007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),31,37,1440.0,572520.1,78456.6,40277.0,39249.4,20459.0,22368.71,18729.99,18049.75,20528.03,11284.04,15591.62,857514.24,12.02.2013,699.0
1+1,32,40,2094.0,233139.860000003,82886.6,74603.3,35591.55,25676.0,12070.0,11996.7,15711.4,16829.11,9834.0,10422.0,528760.5200000029,01.01.2013,221.0
1+1 (BD),33,37,840.0,64899.0,22836.0,24609.4,17622.2,19935.2,11303.2,8736.1,10874.2,12869.0,7164.0,9048.2,209896.50000000003,01.01.2013,199.0
10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),34,40,122.0,4026.0,5887.0,4698.0,1119.0,1192.0,523.0,149.0,0.0,0.0,0.0,0.0,17594.0,04.01.2013,149.0
10 ЛЕТ СПУСТЯ,35,40,222.0,82896.05,0.0,0.0,0.0,299.0,0.0,148.0,0.0,0.0,0.0,0.0,83343.05,23.01.2013,399.0
10 ЛЕТ СПУСТЯ (BD),36,37,82.0,6090.0,1639.0,1788.0,2384.0,1043.0,1043.0,592.0,254.0,174.0,0.0,0.0,15007.0,07.02.2013,149.0
10 ЛЕТ СПУСТЯ (регион),37,40,145.0,1639.0,5857.2,5366.0,4247.0,1044.0,1043.0,1341.0,298.0,0.0,0.0,0.0,20835.2,22.03.2013,149.0
10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),38,41,68.0,0.0,0.0,0.0,0.0,0.0,0.0,23177.0,59975.0,30114.85,11995.0,33522.0,158783.85,11.07.2014,2399.0
10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),39,41,7.0,0.0,0.0,0.0,21996.0,5499.0,0.0,0.0,0.0,6599.0,0.0,6599.0,40693.0,22.12.2013,5499.0
100 Best classical melodies (mp3-CD) (Digipack),40,57,94.0,3494.0,5229.0,2739.0,2988.0,2988.0,1743.0,996.0,1870.0,498.0,249.0,0.0,22794.0,03.01.2013,249.0
100 Best relax melodies (mp3-CD) (CD-Digipack),41,57,43.0,5616.0,2490.0,1621.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,10225.0,02.01.2013,249.0
100 Best romantic melodies (mp3-CD) (Digipack),42,57,109.0,3740.0,3735.0,2490.0,4461.0,4485.0,2691.0,2093.0,2392.0,1323.0,1196.0,598.0,29204.0,07.01.2013,299.0
100 МИЛЛИОНОВ ЕВРО,43,40,9.0,865.0,346.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.0,06.01.2013,198.0
100 лучших мелодий против стресса (mp3-CD) (CD-Digipack),44,57,103.0,3372.0,3984.0,2739.0,3288.0,5382.0,2945.0,3289.0,2048.0,299.0,0.0,0.0,27346.0,12.01.2013,249.0
100 лучших народных песен (mp3-CD) (CD-Digipack),45,57,176.0,6578.0,4784.0,4054.0,3456.0,3588.0,6015.0,4951.0,7176.0,4652.0,2260.0,3887.0,51401.0,02.01.2013,299.0
100 лучших произведений Баха (mp3-CD) (Digipack),46,57,46.0,1870.0,3486.0,2119.0,2241.0,747.0,376.0,0.0,249.0,0.0,0.0,0.0,11088.0,11.01.2013,249.0
100 лучших произведений Бетховена (mp3-CD) (Digipack),47,57,54.0,4980.0,4111.0,1494.0,1494.0,249.0,376.0,0.0,498.0,0.0,0.0,0.0,13202.0,11.01.2013,249.0
100 лучших произведений Вивальди (mp3-CD) (CD-Digipack),48,57,61.0,4487.0,4233.0,1743.0,1245.0,1743.0,1123.0,249.0,0.0,0.0,0.0,0.0,14823.0,04.01.2013,249.0
100 лучших произведений Моцарта (mp3-CD) (Digipack),49,57,186.0,6357.0,8217.0,3735.0,4013.0,6705.0,4739.0,2990.0,4485.0,2392.0,2990.0,3289.0,49912.0,19.01.2013,299.0
100 лучших произведений Рахманинова (mp3-CD) (Jewel),50,57,2.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,19.01.2013,249.0
100 лучших произведений классики (mp3-CD) (Digipack),51,57,236.0,12422.8,6972.0,3984.0,7898.0,6772.2,5808.0,5083.0,2392.0,5311.5,2392.0,2818.0,61853.5,02.01.2013,249.0
100 лучших произведений фортепианной музыки (mp3-CD) (CD-Digipack),52,57,64.0,4875.0,2988.0,2374.0,1793.0,2220.0,299.0,897.0,299.0,299.0,0.0,0.0,16044.0,11.01.2013,249.0
100 лучших русских романсов (mp3-CD) (CD-Digipack),53,57,190.0,6150.0,4186.0,7343.0,4854.0,5549.0,5680.7,5382.0,5382.0,4054.0,3157.0,3588.0,55325.7,01.01.2013,299.0
100 лучших цыганских романсов (mp3-CD) (CD-Digipack),54,57,40.0,3528.2,3623.0,2260.0,2093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11504.2,03.01.2013,299.0
100 любимых маленьких сказок (mp3-CD) (Jewel),55,43,94.0,3332.0,3460.0,4302.0,5124.2,4275.0,1591.0,996.0,0.0,0.0,0.0,0.0,23080.2,13.01.2013,249.0
100 любимых песен. Александра Пахмутова (подар. уп.) (mp3-CD) (Jewel),56,57,39.0,3289.0,2691.0,2260.0,932.0,1794.0,299.0,0.0,0.0,0.0,0.0,0.0,11265.0,23.01.2013,299.0
100 пудов из мультхитов (подар. уп.) (mp3-CD) (Jewel),57,57,157.0,1961.0,6446.0,5118.0,6780.0,5083.0,3623.0,1961.0,5273.0,3289.0,1495.0,3740.15,44769.15,19.01.2013,299.0
"100 чудес России [PC, Цифровая версия]",58,78,1.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,15.11.2013,127.0
100 шедевров классики (mp3-CD) (Digipack),59,57,243.0,12231.8,6285.2,6555.0,7082.0,3984.0,3486.0,3486.0,5478.0,3984.0,2600.0,2988.0,58160.0,01.01.2013,249.0
1000 английских фраз на все случаи жизни (mp3-CD) (Jewel),60,43,39.0,2988.0,2079.0,1743.0,2241.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,9549.0,17.01.2013,249.0
1000 и одна ночь  2CD (mp3-DVD) (DVD-Book),61,43,12.0,1890.0,1949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3839.0,10.01.2013,349.0
10000 ЛЕТ ДО Н.Э. WB (BD),62,37,74.0,0.0,0.0,0.0,0.0,998.0,998.0,499.0,0.0,499.0,0.0,14335.23,17329.23,19.03.2014,299.0
101 ДАЛМАТИНЕЦ  wd,63,40,18.0,1548.55,894.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.55,03.01.2013,149.0
101 ДАЛМАТИНЕЦ 2 м/ф (регион),64,40,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,4760.54,3652.62,1263.0,495.0,12031.16,30.08.2014,149.0
101 ДАЛМАТИНЕЦ 2:ПРИКЛЮЧЕНИЯ ПАТЧА В ЛОНДОНЕ (BD),65,37,45.0,0.0,8379.0,5029.52,798.0,1197.0,1596.0,399.0,0.0,279.0,0.0,0.0,17677.52,11.04.2013,399.0
101 ДАЛМАТИНЕЦ М/Ф (BD),66,37,61.0,0.0,15560.7,3457.0,2394.0,1596.0,1197.0,0.0,0.0,0.0,0.0,0.0,24204.7,11.04.2013,399.0
101 ДАЛМАТИНЕЦ м/ф (регион),67,40,184.0,0.0,0.0,0.0,0.0,0.0,0.0,3052.0,8165.2,7771.0,2970.0,2861.0,24819.2,30.08.2014,149.0
"101 Далматинец. Интерактивная сказка [PC-CD, Jewel]",68,30,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10.03.2013,28.0
"101 совет начинающим разработчикам в системе ""1С:Предприятие 8""  [Цифровая версия]",69,54,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17450.0,6250.0,23700.0,09.04.2015,250.0
"101 совет начинающим разработчикам в системе ""1С:Предприятие 8"". Хрусталева Е.Ю.",70,49,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20541.0,11866.0,32407.0,15.04.2015,349.0
11 ДРУЗЕЙ ОУШЕНА WB (BD),71,37,29.0,0.0,0.0,999.0,999.0,0.0,4990.0,2495.0,3992.0,1995.7,0.0,0.0,15470.7,15.09.2013,499.0
11 ДРУЗЕЙ ОУШЕНА WB (регион),72,40,58.0,2408.4,1428.0,909.0,952.0,476.0,119.0,357.0,0.0,79.0,0.0,0.0,6728.4,05.01.2013,119.0
11-11-11 (регион),73,40,9.0,269.0,172.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,03.01.2013,58.0
12 ДРУЗЕЙ ОУШЕНА WB (BD),74,37,25.0,0.0,0.0,0.0,999.0,0.0,3493.0,1996.0,3493.0,1996.0,998.0,0.0,12975.0,11.11.2013,499.0
12 ДРУЗЕЙ ОУШЕНА WB (регион),75,40,51.0,2999.4,1192.0,596.0,1119.0,745.0,0.0,596.0,0.0,0.0,0.0,0.0,7247.4,05.01.2013,149.0
12 ЛЕТ РАБСТВА (BD),76,37,323.0,0.0,0.0,0.0,0.0,0.0,88672.0,40090.5,17465.0,5489.0,4491.0,0.0,156207.5,15.05.2014,499.0
12 ЛЕТ РАБСТВА (регион),77,40,837.0,0.0,0.0,0.0,0.0,0.0,155274.75,78007.5,18278.2,11105.4,3725.0,447.0,266837.85000000003,15.05.2014,399.0
12 МЕСЯЦЕВ,78,40,139.0,0.0,0.0,0.0,50338.05,3591.0,399.0,0.0,0.0,0.0,0.0,0.0,54328.05,25.10.2013,399.0
12 МЕСЯЦЕВ. НОВАЯ СКАЗКА,79,40,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9841.0,4788.0,14629.0,21.05.2015,399.0
12 РАУНДОВ (BD),80,37,6.0,0.0,0.0,0.0,0.0,0.0,299.0,199.33,0.0,299.0,217.5,389.0,1403.83,21.05.2014,217.5
12 РОЖДЕСТВЕНСКИХ ЖЕЛАНИЙ,81,40,26.0,0.0,0.0,0.0,4969.0,1495.0,897.0,0.0,299.0,0.0,0.0,0.0,7660.0,21.12.2013,299.0
12/ДВЕНАДЦАТЬ (BD),82,37,9.0,0.0,598.0,299.0,0.0,598.0,499.0,299.0,0.0,299.0,0.0,0.0,2592.0,16.04.2013,299.0
12/ДВЕНАДЦАТЬ (СР) (Регион),83,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
127 ЧАСОВ,84,40,10.0,516.0,596.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.0,18.01.2013,149.0
127 ЧАСОВ (BD+DVD),85,37,110.0,12041.0,5964.95,5382.0,2990.0,1495.0,1640.22,523.34,598.0,1195.99,0.0,0.0,31830.500000000004,01.01.2013,299.0
127 ЧАСОВ (регион),86,40,3.0,86.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,02.01.2013,28.0
13 ДРУЗЕЙ ОУШЕНА WB (BD),87,37,27.0,0.0,0.0,0.0,999.0,0.0,4491.0,1996.0,3992.0,1497.0,499.0,0.0,13474.0,11.11.2013,499.0
13 ДРУЗЕЙ ОУШЕНА WB (регион),88,40,43.0,2506.2,1119.0,672.0,970.0,447.0,149.0,149.0,0.0,0.0,0.0,0.0,6012.2,05.01.2013,149.0
13-Й ВОИН wd,89,40,28.0,2453.0,894.0,443.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,3818.0,02.01.2013,149.0
13-Й РАЙОН: Кирпичные особняки,90,40,329.0,0.0,0.0,0.0,0.0,0.0,0.0,79929.09999999999,45480.0,4788.0,0.0,0.0,130197.1,04.09.2014,399.0
13-Й РАЙОН: Кирпичные особняки (BD),91,37,167.0,0.0,0.0,0.0,0.0,0.0,0.0,46676.5,25253.5,1647.0,0.0,0.0,73577.0,09.09.2014,549.0
13-Й РАЙОН: УЛЬТИМАТУМ (BD),92,37,3.0,0.0,249.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,11.06.2013,249.0
15 знаменитых сказок  Детям от 0 до 3 лет (mp3-CD) (Jewel),93,43,166.0,6409.0,3187.2,4482.0,4233.0,5962.9,2490.0,1992.0,4823.0,3984.0,1992.0,996.0,40551.1,12.01.2013,249.0
16 ЖЕЛАНИЙ,94,40,11.0,1095.0,346.0,392.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,03.01.2013,148.0
1812. ЭНЦИКЛОПЕДИЯ ВЕЛИКОЙ ВОЙНЫ,95,40,13.0,2971.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367.0,02.01.2013,299.0
1812. ЭНЦИКЛОПЕДИЯ ВОЙНЫ (регион),96,40,63.0,3418.0,2007.0,1490.0,1192.0,745.0,298.0,0.0,0.0,0.0,0.0,0.0,9150.0,10.01.2013,149.0
1812: 4 СЕРИИ (регион),97,40,125.0,9035.9,3903.75,3941.0,894.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,17923.65,16.02.2013,149.0
1812: УЛАНСКАЯ БАЛЛАДА,98,40,462.0,173466.2,1596.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175360.2,01.01.2013,399.0
1812: УЛАНСКАЯ БАЛЛАДА (BD),99,37,98.0,0.0,0.0,0.0,3278.01,6501.82,1411.0,1490.0,149.0,0.0,0.0,0.0,12829.83,30.11.2013,149.0
1812: УЛАНСКАЯ БАЛЛАДА (регион),100,40,65.0,672.0,2907.0,2311.0,1566.0,298.0,298.0,298.0,447.0,228.0,158.0,0.0,9183.0,22.03.2013,149.0
"1C:Школа. Физика, 9кл. [PC, Цифровая версия]",101,78,7.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,864.0,367.0,0.0,0.0,1447.0,22.09.2014,216.0
"1С-Битрикс: Управление сайтом - Малый бизнес [PC, Цифровая версия]",102,76,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27900.0,27900.0,0.0,0.0,55800.0,10.10.2014,27900.0
"1С-Битрикс: Управление сайтом - Стандарт [PC, Цифровая версия]",103,76,2.0,0.0,0.0,12900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14900.0,27800.0,01.08.2013,14900.0
"1С-Битрикс: Управление сайтом - Старт (Bitrix) [PC, Цифровая версия]",104,76,2.0,0.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0,4900.0,9800.0,28.04.2014,4900.0
"1С:Snowball ORIGINALS ""Europa Universalis III. In Nomine""",105,30,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.04.2013,28.0
"1С:Snowball ИГРУШКИ ""День Победы II. Новая война""",106,30,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.05.2013,28.0
1С:Аудио. В гармонии с природой. Музыка для спокойного вождения автомобиля [Цифровая версия],107,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,172.0,344.0,09.11.2014,172.0
1С:Аудио. В гармонии с природой. Отдых в лесу [Цифровая версия],108,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,172.0,0.0,344.0,09.11.2014,172.0
1С:Аудио. Музыка восстановления равновесия души и тела (Jewel),109,57,113.0,2885.0,1989.0,1989.0,1543.0,2988.0,3326.0,2739.0,2330.0,1921.0,1743.0,1494.0,24947.0,19.01.2013,249.0
1С:Аудио. Музыка восстановления равновесия души и тела [Цифровая версия],110,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,344.0,26.05.2015,172.0
1С:Аудио. Музыка для оздоровления организма (Jewel),111,57,46.0,2277.0,1194.0,1393.0,1842.0,676.0,498.0,1494.0,0.0,0.0,0.0,0.0,9374.0,06.01.2013,199.0
1С:Аудио. Музыка для релаксации и массажа [Цифровая версия],112,44,3.0,0.0,0.0,0.0,0.0,172.0,172.0,0.0,172.0,0.0,0.0,0.0,516.0,04.02.2014,172.0
1С:Аудио. Музыка для снятия стресса (Jewel),113,57,148.0,4377.0,2587.0,3184.0,4321.0,3237.0,2828.0,4162.0,2739.0,2170.0,1832.0,996.0,32433.0,06.01.2013,249.0
1С:Аудио. Музыка для снятия стресса [Цифровая версия],114,44,1.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,10.09.2013,172.0
1С:Аудио. Музыка природы (Jewel),115,57,21.0,3382.0,398.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3979.0,11.01.2013,199.0
1С:Аудио. Музыка страсти: повышение тонуса (Jewel),116,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,89.0,13.02.2015,89.0
1С:Аудио. Музыка страсти: повышение тонуса [Цифровая версия],117,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,172.0,344.0,08.05.2015,172.0
"1С:Аудиокниги ""Аленушкины сказки"" [Цифровая версия]",118,44,3.0,0.0,114.0,0.0,0.0,114.0,0.0,0.0,0.0,114.0,0.0,0.0,342.0,10.06.2013,114.0
"1С:Аудиокниги ""Баба-Яга – Золотая нога"" [Цифровая версия]",119,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,75.0,03.03.2015,75.0
"1С:Аудиокниги ""Дама с собачкой"" [Цифровая версия]",120,44,1.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,14.02.2014,114.0
"1С:Аудиокниги ""Кадетский монастырь"" [Цифровая версия]",121,44,1.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,16.10.2013,172.0
"1С:Аудиокниги ""Любовь"" [Цифровая версия]",122,44,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,24.04.2014,75.0
"1С:Аудиокниги ""Севастопольские рассказы"" [Цифровая версия]",123,44,1.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,16.10.2013,314.0
"1С:Аудиокниги ""Серая Шейка"" [Цифровая версия]",124,44,1.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,31.10.2013,114.0
"1С:Аудиокниги ""Сказки народов мира"" [Цифровая версия]",125,44,2.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,114.0,0.0,0.0,228.0,12.03.2014,114.0
"1С:Аудиокниги ""Сказки. Выпуск 1"" [Цифровая версия]",126,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,228.0,05.01.2015,114.0
"1С:Аудиокниги ""Сказки. Выпуск 2"" [Цифровая версия]",127,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,228.0,19.01.2015,114.0
"1С:Аудиокниги ""Сказки. Выпуск 3"" [Цифровая версия]",128,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,114.0,19.01.2015,114.0
"1С:Аудиокниги ""Сказки. Выпуск 4"" [Цифровая версия]",129,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,228.0,19.01.2015,114.0
"1С:Аудиокниги ""Сказки. Выпуск 5"" [Цифровая версия]",130,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,114.0,19.01.2015,114.0
"1С:Аудиокниги ""Сказки. Выпуск 6"" [Цифровая версия]",131,44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,228.0,19.01.2015,114.0
"1С:Аудиокниги. ""Мистические рассказы русских писателей"", А. С. Пушкин, Ф. М. Достоевский [Цифровая в",132,44,2.0,0.0,0.0,0.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,16.10.2013,216.0
1С:Аудиокниги. 25 знаменитых сказок,133,45,31.0,4458.0,1818.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7023.0,01.01.2013,249.0
1С:Аудиокниги. Around the World in 80 days (by Jules Verne) (Jewel),134,45,1.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,03.09.2013,249.0
1С:Аудиокниги. Classical Mosaic. English Stories. Part 1,135,45,1.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,01.03.2014,250.0
1С:Аудиокниги. Happy New English! (Best funny stories) (Digipack),136,45,3.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,06.01.2013,199.0
"1С:Аудиокниги. The Golden Age of Detective Fiction. Part 1 [PC, Цифровая версия]",137,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,172.0,15.02.2015,172.0
